#metadataBlock	name	dataverseAlias	displayName	blockURI												
	EngMeta		Engineering Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	engMetaCompIUPAC	IUPAC Name	Chemical nomenclature created and developed by the International Union of Pure and Applied Chemistry (IUPAC)		text	27	(#NAME: #VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaComp	EngMeta	https://schema.org/materialExtent
	engMetaCompQuantity	Quantity	The amount of this component.		text	28	: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaComp	EngMeta	
	engMetaCompUnit	Unit	The unit in which the amount is measured.		text	29	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaComp	EngMeta	https://schema.org/unitCode
	engMetaCompForcefield	Force Field	Name of the force field belonging to this component (detailed information about the force field should be given under Force Field Parameters).		text	30	, #NAME: #VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaComp	EngMeta	
	engMetaForcefield	Force Field	Specification of a force field		none	31		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaForcefieldName	Name	Name of the force field.		text	32	#VALUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	engMetaForcefield	EngMeta	
	engMetaForcefieldPars	Parameters	List of all parameter names relevant for this force field (detailed information about parameters should be given under Force Field Parameters entry).		text	33	#VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaForcefield	EngMeta	
	engMetaForcefieldPar	Force Field Parameters	Specification of a force field parameter.		none	34		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaForcefieldParName	Name	Name of the parameter.		text	35	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	engMetaForcefieldPar	EngMeta	
	engMetaForcefieldParSymbol	Symbol	The symbol used to describe this parameter.		text	36	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaForcefieldPar	EngMeta	
	engMetaForcefieldParUnit	Unit	The unit or scale of this parameter.		text	37	[#VALUE]	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaForcefieldPar	EngMeta	https://schema.org/unitCode
	engMetaForcefieldParValue	Value	The value of this parameter.		float	38	: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaForcefieldPar	EngMeta	https://schema.org/value
	engMetaSystemPar	System Parameters	Parameters of the observed system.		none	39		FALSE	FALSE	TRUE	FALSE	FALSE	FALSE		EngMeta	
	engMetaSystemParName	Name	Name of the parameter.		text	40	#VALUE	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	engMetaSystemPar	EngMeta	
	engMetaSystemParSymbol	Symbol	The symbol used to describe this parameter.		text	41	(#VALUE)	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaSystemPar	EngMeta	
	engMetaSystemParUnit	Unit	The unit or scale of this parameter.		text	42	[#VALUE]	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaSystemPar	EngMeta	
	engMetaSystemParValue	Value	The (numerical) value of this parameter.		float	43	: #VALUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	engMetaSystemPar	EngMeta	https://schema.org/value
